Categoria;Codigo;Texto breve de material;Ubicación;Imagen
Rep.Herra.Varios;10000351;"EMPAQUE CONECTOR MEDIDOR D 1/2"" 2P";C.C.E7A;https://ferrepractico.mx/wp-content/uploads/2021/10/0150-16-450x450.jpg
Acero;10000365;"ESPARRAGO AC GR B7 D 3/4"" X 5-1/4"" LONG";3B4M3B;https://http2.mlstatic.com/D_607753-MLA92686223365_092025-C.jpg
Acero;10000366;"ESPARRAGO AC GR B7 D 3/4"" X 4-1/2"" LONG";3B4M2C;https://mercadoindustrialec.com/wp-content/uploads/2023/07/1000030909.jpg
Acero;10000368;"ESPARRAGO AC GR B7 D 3/4"" X 4"" LONG";3B4M3C;https://www.bulones.com.py/files/pro_406_g.jpg
Acometidas;10000373;ESTUFA SOBREMESA 2 QUEMADOR GAS NATURAL;BD2;https://exitocol.vtexassets.com/arquivos/ids/29658595/estufa-de-sobremesa-sueco-gas-natural-2-puestos.jpg?v=638907894854430000
Estaciones;10000394;78480P001 FILTRO REGULADOR VALVULA AXIAL;C.C.E2B;https://i.ibb.co/tp7TgNt2/10000394.png
Internas;10000420;SELLANTE LIQUIDO FUERZA MEDIA;5A2;https://cdncoval.siesadigital.net/convert?type=webp&file=items/images/TUBERIA-Y-ACCESORIOS-SOLDADURAS-Y-LIMPIADORES-Sellante-Gastop-Fuerza-Media-x-36-Gr-Unifix-37220210408072502.jpg
Rep.Herra.Varios;10000427;ABOCINADOR PARA COBRE;C.C.E5B;https://ferreteriavidri.com/images/items/large/6.jpg
Rep.Herra.Varios;10000434;"HOMBRE SOLO 10"" LONG";C.OF.P;https://cdnx.jumpseller.com/universaldetornillosyherr/image/57254474/resize/610/610?1742660562
Rep.Herra.Varios;10000439;"INSERTO TUBERIA 6"" IPS REF. 821403";5A1;
Rep.Herra.Varios;10000455;"JUEGO LLAVES D 0.05""-3/8"" ALLEN";C.OF.P;https://bravoindustrial.com/640-large_default/juego-de-llaves-hexagonales-sae-10-piezas-69-254-stanley.jpg
Rep.Herra.Varios;10000456;JUEGO LLAVES D 1.5-10 MM ALLEN;C.OF.P;https://belltec.com.co/13582-large_default/llaves-bristol-stanley-jgo-10-pc-15-10mm.jpg
Estaciones;10000474;"KIT AISLAMIENTO D  3"" ANSI 150";5B1;
Estaciones;10000476;"KIT AISLAMIENTO D  2"" ANSI 300";5B1;
Estaciones;10000478;"KIT AISLAMIENTO D  6"" ANSI 300";5B1;
Rep.Herra.Varios;10000493;"LLAVE DE BOCA D 1""x15/16"" PROTO";C.OF.P;https://http2.mlstatic.com/D_NQ_NP_649543-MCO69144615756_042023-O.webp
Rep.Herra.Varios;10000516;"LLAVE DE EXPANSION 10"" LONG";C.OF.P;https://casaferretera.vtexassets.com/arquivos/ids/167192-800-800?v=638754020115530000&width=800&height=800&aspect=true
Rep.Herra.Varios;10000517;"LLAVE DE EXPANSION 12"" LONG";C.OF.P;https://http2.mlstatic.com/D_NQ_NP_2X_811929-MCO48886880416_012022-T.webp
Rep.Herra.Varios;10000521;"LLAVE DE EXPANSION  8"" LONG";C.OF.P;https://jensa.vtexassets.com/arquivos/ids/159514/120095900_87-432LA-Llave-Ajustable-Cromada-STANLEY-8-2.jpg?v=638157153334030000
Rep.Herra.Varios;10000524;"LLAVE MIXTA 1-1/4"" LONG";C.C.E5C;https://inversionesproin.com/wp-content/uploads/2020/07/WhatsApp-Image-2020-07-31-at-9.39.46-AM.jpeg
Rep.Herra.Varios;10000530;"LLAVE MIXTA 1/2""";C.OF.P;https://ferricentro.com/media/catalog/product/i/m/imagenp_0000050395.png?optimize=low&fit=bounds&height=700&width=700&format=jpeg
Rep.Herra.Varios;10000536;"LLAVE DE TUBO 12"" LONG";C.C.E5C;https://media.falabella.com/sodimacCO/30635_01/public
Rep.Herra.Varios;10000538;"LLAVE DE TUBO 24"" LONG";C.C.E5A;https://media.falabella.com/sodimacCO/415126/public
Rep.Herra.Varios;10000540;"LLAVE DE TUBO  8"" LONG";C.OF.P;https://media.falabella.com/sodimacCO/623804/public
Rep.Herra.Varios;10000541;"LLAVE DE TUBO 10"" LONG";C.OF.P;https://belltec.com.co/18375-large_default/llave-de-tubo-10-pulg-254-mm-stanley-87-622.jpg
Rep.Herra.Varios;10000549;MANERAL PARA  POLIVALVULA POLIETILENO;3B3;https://i.ibb.co/XrJtfJSv/10000549.jpg
Estaciones;10000554;"73404P002 MANGA H7 VALV AXIAL D2""ANSI300";C.C.E6C;https://i.ibb.co/SD3cTbgk/10000554.png
Estaciones;10000555;"MANGA H7 VALVULA AXIAL D 3"" SERIE 300";C.C.E6C;https://i.ibb.co/7JFC2JXg/10000555.png
Internas;10000561;"CONECTOR FLEXIBLE D 1/2""x1.0 MT-L";1A2;https://media.falabella.com/sodimacCO/330104/public
Estaciones;10000571;"MANOM 160PSI CAR 2-1/2"" REC-INOX VERTICA";C.C.E8D;https://i.ibb.co/jkdv8NHZ/10000571.jpg
Internas;10000573;"MANOMETRO 30 PSI CAR 2-1/2"" RECA- INOX";C.C.E8B;https://www.serviciossmi.com/web/image/product.template/191/image_1024?unique=88c58c3
Internas;10000577;"MANOMETRO 60 PSI CARA D 2-1/2"" RECA-INOX";C.C.E8A;https://i.ibb.co/KB4DsJL/10000577.jpg
Internas;10000578;"MANOMETRO 15 PSI CARA D 2-1/2"" RECA-INOX";C.C.E8C;https://laboratorio.pe/wp-content/uploads/2024/07/ritherm-manometro-0-15-psi-0-1-bar-c-glicerina-o-2-5%E2%80%B3-x-1-4%E2%80%B3-ntp-vertical-caja-inox-mec-bronce-1.jpg
Rep.Herra.Varios;10000588;"MARCO SEGUETA DE 12""";C.C.E5C;https://lbm.com.do/wp-content/uploads/2022/10/L2023.0060.1-1-scaled.jpg
Rep.Herra.Varios;10000589;MARTILLO DE OREJA 2 LB;C.C.E5C;https://http2.mlstatic.com/D_Q_NP_2X_728997-MLA100082613843_122025-T.webp
Rep.Herra.Varios;10000591;MAZO DE CAUCHO;C.C.E5C;https://cdnx.jumpseller.com/universaldetornillosyherr/image/34411278/mazo-de-goma-20oz-57-523-stanley.jpg?1742660439
Medidores;10000593;MEDIDOR 37 M3H DIAF 30 LT IZQ MAOP 25PSI;4A1;https://i.ibb.co/Kc3rDzpk/10000593.jpg
Medidores;10000608;MEDID 85 M3H ROT 20 BAR ANSI 150 G65 ID;C.M.R;https://i.ibb.co/0pj90Qrn/10000608.jpg
Acometidas;10000619;NICHO HI GALV MEDIDOR G1.6 SIN ESPALDAR;BD2;https://i.ibb.co/0pWpCT7H/10000619.jpg
Galvanizados;10000622;"NIPLE GALV D 1/2"" X 3"" LONG SCH40";5A2;https://ferropetrol.com/cdn/shop/files/niples-inox_f098924f-b328-433b-9728-12ef997d1f6a.webp?v=1736978163
Estaciones;10000627;"NIPLE ACERO D 1-1/2""x4"" SCH40";5A1;https://static.grainger.com/rp/s/is/image/Grainger/5P607_AS01?$zmmain$
Galvanizados;10000634;"NIPLE GALV D  1/2"" X 4"" LONG SCH40";4B2;https://http2.mlstatic.com/D_NQ_NP_694221-MCO46598888429_072021-O.webp
Galvanizados;10000637;"NIPLE GALV D 3/4"" X 3"" LONG SCH40";5A2;https://distribuidoraluz.com.mx/cdn/shop/products/143c21a39ee175293608fb64337f8262_97b66d06-b6c7-48c2-9b29-2f439bbf1edb.jpg?v=1667943752
Galvanizados;10000638;"NIPLE GALV D 3/4"" X 4"" LONG SCH40";4B2;https://maheroca.com/8587-home_default/niple--galvanizado-34-x-4-pulgadas-innaco-n-34.jpg
Galvanizados;10000639;"NIPLE GALV D 3/4""x5"" LONG SCH40";4B2;https://www.lewonski.com/sites/default/files/productos_ws/0270144-03.jpg
Galvanizados;10000640;"NIPLE GALV D 3/4"" X 6"" LONG SCH40";4B2;https://static.grainger.com/rp/s/is/image/Grainger/1RKK2_AS01?$zmmain$
Rep.Herra.Varios;10000646;"ORIFICIO 5/8"" #72983P013";C.C.E3E;
Rep.Herra.Varios;10000647;OVEROL TYVEK SARANEX CON CAPUCHA;5A1;https://http2.mlstatic.com/D_NQ_NP_2X_803230-MCO26184770267_102017-T.webp
Rep.Herra.Varios;10000665;"PINZA PELA CABLE 6"" STANLEY REF. 84-223";C.OF.P;https://cdnx.jumpseller.com/universaldetornillosyherr/image/62020028/Screenshot_19.png?1743604295
Rep.Herra.Varios;10000667;"ALICATE CORTAFRIO DE 6""";C.OF.P;https://www.construmole.com/wp-content/uploads/2022/02/alicate-corte-diagonal-stanley-6-pulg-84105.jpg
Polietileno;10000680;"VALVULA PE80 D 2"" IPS RDE11 TOPE";1A2;
Polietileno;10000681;"VALVULA   PE80 D 1"" IPS SOCKET RDE 11";1A2;
Polietileno;10000682;"VALVULA   PE80 D  1/2"" IPS SOCKET RDE 9";1A2;
Polietileno;10000683;"VALVULA PE80 D  3/4"" IPS SOCKET RDE11";1A2;
Polietileno;10000698;"PRENSA CIERRE MECANICA PE D 1""- 4""";5B1;https://i.ibb.co/gbZwSbg2/10000698.png
Internas;10000709;"RACOR LAT D 1/2""x3/8""NPTM";3A2;https://i.ibb.co/ynJ1pS43/10000709.png
Internas;10000717;"RACOR LAT D 1/2"" FLARE X 1/2"" NPT";3A2;https://www.mirocom.com.mx/9068-large_default/niple-para-gas-de-laton-12-pulgadas-tipo-flare-x-12-tipo-npt-conector-para-gas-macho-macho-12x12.jpg
Acero;10000728;"REDUCCION CONCENTRICA AC SCH40 4"" X 3""";6B2;https://http2.mlstatic.com/D_NQ_NP_2X_754908-MLA75578599885_042024-T.webp
Acero;10000729;"REDUCCION CONCENTRICA AC SCH40 3"" X 2""";6B2;https://tuvalrep.com.co/wp-content/uploads/2022/03/Red-Copa-Acero-sch-40.webp
Polietileno;10000734;"REDUC. PE80 D 3""IPS x2""IPS RDE11 TOPE";1A1;https://i.ebayimg.com/images/g/e3UAAeSwT7dpSurC/s-l1200.webp
Polietileno;10000735;"REDUC PE80 D  3/4"" IPS x 1/2"" IPS SOCKET";1A1;
Polietileno;10000736;"REDUC PE80 D 4"" IPS x 2"" IPS RDE 11 TOPE";1A1;
Polietileno;10000737;"REDUC. PE80 D 4""IPS x3""IPS RDE 11 TOPE";1A1;https://tuvalrep.com.co/wp-content/uploads/2021/04/reduccion-copa-polietileno-gas-1.webp
Polietileno;10000738;"REDUCCION PE80 D 6""X 4"" IPS RDE 11 TOPE";1A1;
Reguladores;10000757;"REGULADOR  40 M3H 25 PSI CD 3/4""NPTH-180";4B1;https://tienda.premac.co/cdn/shop/files/Diseno_sin_titulo_39.png?v=1727357234&width=1445
